Problem Name,Status,First Attempted,Solved Date,Number of Attempts
Pascal's Triangle II,Accepted,2023-06-25,2023-06-25,4
Search in a Binary Search Tree,Accepted,2023-06-25,2023-06-25,2
Swap Nodes in Pairs,Accepted,2023-06-25,2023-06-25,2
Reverse String,Accepted,2023-06-25,2023-06-25,3
Convert Sorted Array to Binary Search Tree,Accepted,2023-06-25,2023-06-25,1
Count Univalue Subtrees,Accepted,2023-06-25,2023-06-25,6
Total Cost to Hire K Workers,Not Accepted,2023-06-25,Not Solved,1
Path Sum,Accepted,2023-06-25,2023-06-25,3
Symmetric Tree,Accepted,2023-06-25,2023-06-25,2
Binary Tree Postorder Traversal,Accepted,2023-06-25,2023-06-25,2
Binary Tree Inorder Traversal,Accepted,2023-06-25,2023-06-25,1
Binary Tree Preorder Traversal,Accepted,2023-06-25,2023-06-25,5
Minimum Remove to Make Valid Parentheses,Not Accepted,2023-06-25,Not Solved,4
Two City Scheduling,Accepted,2023-06-25,2023-06-25,1
Median of Two Sorted Arrays,Accepted,2023-06-18,2023-06-18,3
Maximum Subarray,Accepted,2022-12-02,2023-03-26,4
Jump Game,Accepted,2023-06-18,2023-06-18,4
Longest Common Subsequence,Not Accepted,2023-06-18,Not Solved,3
Longest Increasing Subsequence,Accepted,2023-06-18,2023-06-18,2
Unique Paths,Accepted,2019-10-09,2019-10-09,3
Maximum Product Subarray,Accepted,2023-06-18,2023-06-18,8
Coin Change,Accepted,2023-06-18,2023-06-18,5
Decode Ways,Accepted,2023-06-11,2023-06-18,6
Palindromic Substrings,Accepted,2023-06-09,2023-06-09,2
House Robber II,Accepted,2023-06-09,2023-06-09,2
House Robber,Accepted,2023-06-09,2023-06-09,1
Implement Trie (Prefix Tree),Accepted,2023-06-09,2023-06-09,1
Minimum Rounds to Complete All Tasks,Accepted,2023-06-02,2023-06-02,1
Clone Graph,Accepted,2023-05-26,2023-05-26,1
Matrix Diagonal Sum,Accepted,2023-05-09,2023-05-09,1
Spiral Matrix,Accepted,2023-04-25,2023-05-09,2
